Datum;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
2021-01-19T23:59:59+01:00;1;301203;Burgenland;4410;1.46412884333821;5898;1.95814782721288
2021-01-19T23:59:59+01:00;2;568946;Kärnten;10050;1.76642423006753;12985;2.28229041068924
2021-01-19T23:59:59+01:00;3;1717617;Niederösterreich;23797;1.3854660264773797;27262;1.5871990088593702
2021-01-19T23:59:59+01:00;4;1521843;Oberösterreich;20269;1.33187194736908;36258;2.38250594837969
2021-01-19T23:59:59+01:00;5;568317;Salzburg;9445;1.6619245949003798;12235;2.15284779445274
2021-01-19T23:59:59+01:00;6;1264384;Steiermark;24735;1.95628859586961;29638;2.34406635958696
2021-01-19T23:59:59+01:00;7;769613;Tirol;12408;1.61223887850127;13498;1.75386850274099
2021-01-19T23:59:59+01:00;8;405542;Vorarlberg;9895;2.4399445680102203;10438;2.57383945435984
2021-01-19T23:59:59+01:00;9;1973403;Wien;35411;1.79441300129776;45949;2.32841441915311
2021-01-19T23:59:59+01:00;10;9090868;Österreich;150420;1.6546274789161999;193476;2.1282456196702
2021-01-20T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-20T23:59:59+01:00;1;301203;Burgenland;4725;1.56870947500523;5898;1.95814782721288
2021-01-20T23:59:59+01:00;2;568946;Kärnten;10050;1.76642423006753;12985;2.28229041068924
2021-01-20T23:59:59+01:00;3;1717617;Niederösterreich;24723;1.43937792883978;27298;1.5892949359490502
2021-01-20T23:59:59+01:00;4;1521843;Oberösterreich;26076;1.7134487591689802;35834;2.35464499294605
2021-01-20T23:59:59+01:00;5;568317;Salzburg;10050;1.7683792672047498;14166;2.4926229551465098
2021-01-20T23:59:59+01:00;6;1264384;Steiermark;25445;2.01244242255517;33269;2.63124177465074
2021-01-20T23:59:59+01:00;7;769613;Tirol;12408;1.61223887850127;13498;1.75386850274099
2021-01-20T23:59:59+01:00;8;405542;Vorarlberg;9970;2.45843833684304;10438;2.57383945435984
2021-01-20T23:59:59+01:00;9;1973403;Wien;38235;1.93751605728784;49465;2.50658380472716
2021-01-20T23:59:59+01:00;10;9090868;Österreich;161682;1.77851003886538;202166;2.2238360517389504
2021-01-21T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-21T23:59:59+01:00;1;301203;Burgenland;4851;1.6105417276720402;5946;1.9740839234669
2021-01-21T23:59:59+01:00;2;568946;Kärnten;10050;1.76642423006753;14089;2.47633343058919
2021-01-21T23:59:59+01:00;3;1717617;Niederösterreich;24980;1.4543405194522399;30628;1.78316819174473
